,@Username,Tweet,Lokasi
0,Alfakton_i,"Kerjaan Anies nothing!! kasian Jokowi yang harus beresin kerjaan anies!!

#AniesBaswedan #Jokowi #GanjarPranowo 

Partai Prima Indomie Yatai #HARAM KPAI #SavePendampingDesa Formula E Barca Maret ARTIST AND STAFF Silent Jalur Turut Selamat Ulang Tahun https://t.co/2EYWGhhdoy",Indonesia
1,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/Oj5GwX853S","Slawi, Indonesia"
2,Alfakton_i,"Anies cuma boneka yang hinggap sana sini gak punya kemampuan!!

#AniesBaswedan #Jokowi #GanjarPranowo 

Partai Prima Indomie Yatai #HARAM KPAI #SavePendampingDesa Formula E Barca Maret ARTIST AND STAFF Silent Jalur Turut Selamat Ulang Tahun https://t.co/qjyse6yEHG",Indonesia
3,Matabat42549143,@BosPurwa @ganjarpranowo Kalau kodok ingin terbang ya pasti gagal…kalau anak elang ingin terbang pasti bisa…,
4,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/Fl67nRNExs","Slawi, Indonesia"
5,Alfakton_i,"Anies takut elektabilitas dan citranya turun jelang Pilpres 2024!!

#AniesBaswedan #Jokowi #GanjarPranowo 

Partai Prima Indomie Yatai #HARAM KPAI #SavePendampingDesa Formula E Barca Maret ARTIST AND STAFF Silent Jalur Turut Selamat Ulang Tahun https://t.co/LsNm0OHzxI",Indonesia
6,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/xXGkXLyE83","Slawi, Indonesia"
7,Alfakton_i,"Anies tidak pernah keluarkan ide ekstrem karena takut kehilangan konstituen!!

#AniesBaswedan #Jokowi #GanjarPranowo 

Partai Prima Indomie Yatai #HARAM KPAI #SavePendampingDesa Formula E Barca Maret ARTIST AND STAFF Silent Jalur Turut Selamat Ulang Tahun https://t.co/i2IflB28fL",Indonesia
8,anaanakbarw,"@abuumarabdullah @ainunia @blontankpoer @ganjarpranowo https://t.co/KmfPBxikvx

Jalan provinsi itu, baca sampai akhir",
9,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/lnQDbiXU8i","Slawi, Indonesia"
10,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/U8EWS9R73G","Slawi, Indonesia"
11,Alfakton_i,"Anies mana berani sama bohirnya!! 11 bulan berpolitik tidak jelas omongannya!!

#AniesBaswedan #Jokowi #GanjarPranowo 

Partai Prima Indomie Yatai #HARAM KPAI #SavePendampingDesa Formula E Barca Maret ARTIST AND STAFF Silent Jalur Turut Selamat Ulang Tahun https://t.co/56a5N4EhkQ",Indonesia
12,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/xb56fdMCZm","Slawi, Indonesia"
13,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/oPtCFCjTAk","Slawi, Indonesia"
14,Alfakton_i,"Fahri Hamzah menilai anies baswedan adalah sosok yang pengecut!!

#AniesBaswedan #Jokowi #GanjarPranowo 

Partai Prima Indomie Yatai #HARAM KPAI #SavePendampingDesa Formula E Barca Maret ARTIST AND STAFF Silent Jalur Turut Selamat Ulang Tahun https://t.co/koSTq8YkQr",Indonesia
15,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/aOP77NgGAY","Slawi, Indonesia"
16,MuhammadTuhasan,"Aplikasi Jalan Cantik yang diluncurkan Gubernur Jawa Tengah Ganjar Pranowo sejak 2019 lalu  Gaes. Jadi pengen,2024 nanti program dan aplikasi ini berskala Nasional. Setuju gak Gaes?? https://t.co/bmy3PWmCmS","Kalimantan Selatan, Indonesia"
17,jan_athos,@Coco_exp @ch_chotimah2 @ganjarpranowo Karena engga punya prestasi jdi yg di tonjolkan hal ngaspal ulang yg dijadikan prestasi.. capres tukang nonton bokep emang siapa yg mau milih...,Usa
18,ArgaituGunung,"@TyoSade35337920 @jar09071983 @ch_chotimah2 @ganjarpranowo Kau ngomong akhlak, gk kau tengok tweet kau itu apa? Kau menuduh anis bancakan anggaran, kau ada bukti asu?",
19,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/NNxhMQ5VEQ","Slawi, Indonesia"
20,Otasam08661902,@rio5643 @ch_chotimah2 @ganjarpranowo Genjer mana genjer ?.,"Malang, Jawa Timur"
21,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/KwNeeT2f6j","Slawi, Indonesia"
22,Rian__Az,@mbokpoetry @ganjarpranowo GGMU💪😁,
23,GongBagong3,"Masih lama ngantrinya, Pak @ganjarpranowo? https://t.co/Nnk9jqMxHL",
24,AriJasmine2,"@ch_chotimah2 @ganjarpranowo Abis makan tai basi ya,...🤣
Jadi ngaco otaknya 😆",
25,AlisyahMutiara,"Ratusan warga berbondong-bondong melaksanakan salat subuh berjemaah di Masjid Raya Sheikh Zayed Solo bersama Ganjar Pranowo dan Wapres Ma’ruf Amin.

ARTIST AND STAFF
Indomie Yatai
Matthew
PARK JIMIN
KPAI
Morningg
Pagiii https://t.co/N6mWUbJvGu",Palembang
26,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/uz7SfZwnMQ","Slawi, Indonesia"
27,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/7HvNAZ7ApU","Slawi, Indonesia"
28,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/FX137Ck4fd","Slawi, Indonesia"
29,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/aqJGZbVKtz","Slawi, Indonesia"
30,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/0bRdo1TO8Z","Slawi, Indonesia"
31,hendrajohno78,"@blontankpoer @ganjarpranowo Provinsi basis partai pdip,
Pusat nya jg partai pdip,

Mudah2an cepat di respon mas.

Karna pdip partai nya wong cilik.
Membela kepentingan wong cilik.

Tp kalo wong cilik gak lewat jalan tsbt,,,
Ya ndak tau jg.",
32,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/AMQDUXEasx","Slawi, Indonesia"
33,membangunnegri1,"Omah Putih bukti kecintaan masyarakat pada Ganjar Pranowo.

Indomie Yatai KPAI Partai Prima ARTIST AND STAFF Silent Matthew WELCOME WINWIN TO PARIS 
#Ganjar
#ganjarpranowo
#ganjarbertanggungjawab
#HARAM
#TDS2inJAKARTA
#SECRET_NUMBER 
#SavePendampingDesa
#TAEYONG 
#TAEYONGtoPFW23 https://t.co/8Vzuri7fG8",
34,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/WpBOHkYNvq","Slawi, Indonesia"
35,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/tEWV1dpHiT","Slawi, Indonesia"
36,Teropong62,"Omah Putih bukti kecintaan masyarakat pada Ganjar Pranowo.

Indomie Yatai KPAI Partai Prima ARTIST AND STAFF Silent Matthew WELCOME WINWIN TO PARIS 
#Ganjar
#ganjarpranowo
#ganjarbertanggungjawab
#HARAM
#TDS2inJAKARTA
#SECRET_NUMBER 
#SavePendampingDesa
#TAEYONG 
#TAEYONGtoPFW23 https://t.co/CHt6AFHm7v",
37,Matpeci212,@PutraErlangga95 @ganjarpranowo Pembangunan yang tidak memperhatikan aspek lingkungan...,Jakarta Ciliwung River
38,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/RoQWCKmfVd","Slawi, Indonesia"
39,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/xnBqj1qyJw","Slawi, Indonesia"
40,MekanikHappy,@ch_chotimah2 @ganjarpranowo Monyet @ch_chotimah2 pasti bukan orang Jateng wkwkwkwk KL lu warga Jateng pasti tau dan mikir dua kali,"Makasar, Indonesia"
41,jayarastafara54,"@mitraline9 @ganjarpranowo Sukses selalu matamu,jalan rusak,macet parah,banjir dsb,,wartawan kebanyakan dibarat jadi jarang keekpos,gubernur pki bisanya pencitraan",
42,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/5FMuLkTcMK","Slawi, Indonesia"
43,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/A4QCbZqzYY","Slawi, Indonesia"
44,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/9ADPVWChQB","Slawi, Indonesia"
45,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/fjVBShMZlg","Slawi, Indonesia"
46,KodratArief,@RizkiR4madani @ganjarpranowo Masih ngomong etika politik namanya Politik ya berpolitik siapa cepet biar dapat seng alon asal kelakon ketinggalan,Bogor Indonesia 
47,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/hFZ3VIOBxi","Slawi, Indonesia"
48,SantriBaholak,@BosPurwa @ganjarpranowo https://t.co/DufI0fop4S,"Sumatera Utara, Indonesia"
49,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/7RZF1R2T2x","Slawi, Indonesia"
50,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/00p2kaGKCY","Slawi, Indonesia"
51,Samboja99038183,@kominfo_jtg @ganjarpranowo Jalan Provinsi dari kecamatan Banyuputih s/d Kec.Reban Kab.Batang Rusak Parah Akibat Aktifitas Penambangan Galian-C...Mohon di Atensi. Terimakasih,
52,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/QtXWHDvpzf","Slawi, Indonesia"
53,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/ccl9otdU1q","Slawi, Indonesia"
54,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/Bylen6istb","Slawi, Indonesia"
55,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/bemmFcVseT","Slawi, Indonesia"
56,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/2h8ZpE1gGr","Slawi, Indonesia"
57,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/ITtsHfL3FT","Slawi, Indonesia"
58,Sukandramush1,"@abu_waras Pengamat @mqodari 
Betul.
 Dasarnya apa  ?, ...
Survei juga (bukan peramal) 
Selalu muncul tiga nama, 
@ganjarpranowo 
@prabowo 
@aniesbaswedan 
@AgusYudhoyono (Belum tayang).","Solo Raya, Surakarta, Jateng. "
59,arispidekso,@BosPurwa @ganjarpranowo No point,
60,SitiSolichah5,@ganjarpranowo @LaporGub_ Gk mutu banget sampyn ki pak pak..gitu kok pengen RI 1...RI itu gedhe banget...rakyatnya pinter²...sampyn gk bakal sanggup,
61,Genduniamaya,"@ch_chotimah2 @ganjarpranowo Angkat prestasinya, jauhkan sifat menjelekkn orang lain karena suatu saat akan ada org yg lebih jelek menjelekkan kamu, inilah yg dinamakan kebaikan akan kembali pada yg berbuat baik, keburukan juga akan kembali kpd yg berkata buruk.",Kajarta
62,ET_Monitor,"ERICK THOHIR NEWS |  Duet Maut Ganjar Pranowo dan Erick Thohir, PAN Sudah Bicarakan Kepada Partai PDIP https://t.co/9DzRKNhgru | BangkitBersamaET","DKI Jakarta, Indonesia"
63,foers792,"@ch_chotimah2 @ganjarpranowo kemana mana ini anak selalu inget ke anies, pak anies the best lah, ampe semua buzzer selalu merindukan ha ha ha",kota hujan
64,anakodok2009,"@TyoSade35337920 @ch_chotimah2 @ganjarpranowo Hebat bs bikin jl 10rb km, daendels aja kalah. Salut guwe","Jakarta Capital Region, Indone"
